index,Primary Investor Type,target Investment Country,Investment Type,Preferred Industry
107,131,0,0,"43,54,91,107,129,150"
108,1,112,0,"36,43,66,108,251"
109,97,75,0,"36,57,91,109,129,153,158,165,166,241,255,274"
110,97,114,0,"29,34,36,57,66,83,107,108,109,129,151,153,158,165,180,189,241"
111,97,"35,115",0,"57,79,83,88,91,101,107,109,129,151,154,158,164,165,182,183,227,232,239,254,255,256,269"
112,97,"11,26,34,35,80,114",0,0
113,56,115,0,"36,42,43,91,255"
114,1,0,0,"42,108,114,128,239,243,246,251"
115,131,0,0,"57,79,100,108,129,165"
116,6,"21,101",0,"143,153,165,254"
117,"97,107","33,79",0,"36,100,107,108,153,155,157,241"
119,"131",0,"0","31,64,73,120,273"
120,"97,107",2,4,33,59,0,"36,57,107,129,151,164,232,255"
121,131,52,"40,95","2,7,8,19,29,36,57,84,85,91,107,108,129,155,165,171,177,198,241,257,262,268"
122,"107,131",0,0,64
123,97,114,0,"36,57,107,129,151,255"
124,131,0,"66,81",255
125,97,27,"0","36,57,129,151,255"
126,"107,131",0,0,"154,273"
127,131,0,0,"47,57,83,84,101,108,128,175,190,241"
128,"107,131",0,"66,81","8,19,30,43,57,100,108,129,241"
129,131,"21","0","3,30,84,91,101,153,165,171,183,198,255,256"
130,"97,107",0,0,"57,91,111,151,241,255"
131,"97,107",0,"10,39","43,108,182,254,255,256"
132,131,114,0,"31,64"
133,1,"16",81,"57,100,127,129,165"
134,131,"51,101,115",0,"30,36,42,57,129,151,153,165,177"
135,131,"21",0,"5,8,19,30,91,150,153,171,198,227"
136,131,100,0,"25,34,36,47,57,71,81,83,108,109,113,120,136,150,167,175,189,190,221,236,241,246,259"
12,97,"0","10,39",0
138,6,"16,33,115",0,"36,57,107,129,151,241,263"
139,6,"0","18,69,72","154,230"
140,131,100,0,"30,57,101,108,129,143,153,183,237"
141,131,16,0,255
142,"107,131",0,"26,49",5,90,99,142,154
143,131,95,"26,40,49,81","7,43,64,83,84,108,120,128,153,167,241"
144,28,43,0,108
145,6,27,0,0
146,"97,107",79,0,"2,5,35,36,41,50,57,84,85,91,101,107,118,129,151,167,168,171,182,190,198,255,256,263"
147,"107,131",0,0,31
148,131,0,0,255
149,97,35,"0","4,34,36,47,83,108,149,150,158,169"
150,28,0,0,0
151,131,113,0,"64,154,273"
152,131,0,0,"64,108"
153,53,"0",0,0
154,97,35,0,"7,36,129"
155,131,0,0,"64,273"
156,131,46,"26,40,81,83",71,101,157,241
157,131,115,"66,83","43,57,100,108,129,165,175,252"
158,42,"33",26,81,"29,36,42,43,81,91,121,158,167,190,206,233"
159,"97,107",0,"0","36,84,107,129,151,154"
160,"107,131",0,"26,40,49,81",0
161,1,"115",26,0
162,97,35,10,"36,57,91,107,129,151,153,171,177,255"
163,131,0,0,"8,19,57,64,71,75,84,108,127,129,175,241"
164,"97,107",0,"0","58,129,165,255"
165,1,"105",0,255
166,"107,131",0,0,"57,59,85,101,107,111,129,255,263"
167,"89,107",0,"41,69,72",0
168,28,0,"39,81",0
169,"97,107",114,0,"100,129,171"
170,131,43,"0","31,64,273"
171,97,114,"0","2,36,57,107,129,155,255"
172,131,115,"26,49,81","29,66,83,91,154,165,171,207,241,255"
173,131,0,"0","64,72"
174,58,2,4,"0","30,77,79,129,130,165,179"
175,131,0,"0","8,19,31,57,85,101,153,189,233,237,240"
176,28,18,"0","8,19,73,75,103,120,154,182,196,235,246,273"
177,1,"100",0,"7,24,35,41,46,68,91,109,111,129,158,167,169,173,180,186,198,224,230,239,249,251,259"
178,"97,107",0,"39,68,72","57,58,129,182,232"
179,"97,107",0,0,"36,57,107,108,129,150,152,241"
180,131,54,"10,26,40,49,81","8,19,36,57,83,91,107,129,153,158,165,171,189,207,239,241,254,255"
181,131,33,0,"8,19,34,36,42,43,57,66,83,91,107,108,128,155,156,163,165,189,190,268"
182,"1,120",0,"0","6,111"
183,95,104,0,0
184,97,35,0,"7,36,45,54,57,89,91,107,108,129,151,154,165,167,171,241,255"
185,28,"0",26,"31,64"
186,131,115,0,"57,100,241"
187,"97,107",0,"0","36,57,107,129,182,254,255"
188,5,46,94,"42,57,58,71,83,84,85,108,120,126,129,157,158,167,188,190,221,232,246"
189,131,0,"0","2,3,7,72,89,130,153,165,171,179,258"
190,131,95,0,"31,64,273"
191,97,"33,79",0,"107,129,150,211,255"
192,131,"46,51,115","26,49","36,57,100,107,129,152"
193,97,114,"10,12,39","36,57,84,85,255"
194,28,54,0,"8,19,30,31,83,91,108,129,153,165,235"
195,6,95,0,"31,64"
196,131,100,0,"8,19,84,190"
197,1,52,0,"7,30,34,36,42,45,79,84,89,91,108,129,158,165,180,189,197,214,230,241,259,269"
198,97,35,"10,39",6,34,35,36,57,61,99,101,152,153,167,180,182,227,251,258,259,263
199,"6,107",0,39,"18,72,107,255"
200,42,0,"26,49,81",42,102
201,6,"16,33,115",10,39,"57,59,91,107,129,151,154,177,227,256"
202,97,"33,115",0,"34,36,50,83,84,108,129,151,165,171,177,202,233,241"
203,131,114,"26,40","118,230"
204,"97,107",115,0,"34,66,107,108,129,154"
205,"97,107",0,0,"7,36,54,84,85,91,101,107,125,129,136,155,162,174,182,183,227,232,235,256,263,255"
206,"107,131",0,0,"30,57,64,100,118,255"
207,97,21,0,0
208,"107,131","1,16,59,101,115","26","34,79,108,241"
209,131,"0","94","8,19,23,30,31,52,64,68,75,81,89,91,127,143,153,158,171,177,189,197,209,211,225,233,235,240,243,268"
210,56,"0",0,178
211,"21",0,"0","8,19,29,52,75"
212,131,0,0,255
213,131,7,"26","64,71,108,128,150,175,213,241,251"
214,97,"0","69","107"
215,131,"18,114",0,"31,57,108,120,154,273"
216,131,0,0,"8,19,57,108,128,150"
217,58,16,0,"42,91,129,153,255"
218,131,21,0,"84,153"
219,71,100,0,0
220,131,0,0,"36,42,50,53,92,241,265"
221,71,0,0,0
222,"97,107","6,16,33,76,79,100,102","0","36,54,59,84,85,129,171,232,241"
223,97,"11,26,86,102,114","0","36,84,85,107,129,144,166"
224,"97,107","6,16,33",10,12,39,73,"36,56,57,129,182,241"
225,97,35,0,"57,129,225,255"
226,34,0,0,0
227,131,54,0,"8,19,31,91,153,165,189,233,241,254,255"
228,"107,131",0,"26","5,57,91,255"
229,1,"29,31,70,113",0,"29,189,263,268"
230,"97,107",0,0,"34,36,107,129,153,177"
231,97,114,39,"2,36,42,57,91,101,129,151,154,165,177,233,254"
232,1,113,0,255
233,42,0,0,"6,54,85,107,109,129,154,171,232,259,255"
234,131,0,0,255
235,"97,107",115,0,"129,151,107"
236,1,75,"0",255
237,"6,107",0,"0","36,57,107,129,153"
238,24,0,0,"22,50,52,57,83,107,129,151,171,220,241,254"
239,"21,93",0,"0","0"
240,"107,131",0,"0","100,108,241"
241,131,0,"0","66,83,129,153,171,189,232"
242,42,"100","0","0"
243,4,0,94,0
244,131,114,"0","57,101,107,111,171,180,230"
245,"107,131",0,0,"8,19,30,90,158,165"
246,1,114,38,"91,92,97,198,230,269"
247,97,75,"0","34,36,107,111,171,210,241"
248,"107,131",0,"0","100,108,241"
249,1,0,0,"2,7,77,91,130,177,179,180,225,235,263"
250,131,0,"26,40","43,50,128"
252,21,0,0,0
253,46,0,0,0
254,6,79,80,"0","91,154,227,230,237"
255,"9",36,"94","54,81,85"
256,"107,131",0,0,"8,19,65,66,108,128"
257,"107,131",115,"0","34,108,155,156,241,249"
258,"107,131",115,"0",108
259,"107,131",0,"0",8
260,97,35,0,255
261,131,"6,114",26,"34,64,83,154,273"
262,131,114,"0","7,30,42,108,128,165,180,258"
263,131,101,"0","43,57,100,108,118,129"
264,131,21,0,"101,107,120,153,171,183,255"
265,131,95,0,"0",255
266,28,54,0,"129,151,154,165,169"
267,21,0,0,0
268,131,26,75,80,26,"0","175,241"
269,97,0,0,241
270,97,79,0,"7,27,58,84,85,110,111,129,228,274"
271,"42",35,"0",0
272,1,52,0,"8,19,84,85,224,232,241"
273,28,"44",26,49,"4,8,29,57,83,84,107,108,153,189,224,232,259"
274,"28",100,"0","0"
275,"97",100,"0","101,129,190"
276,131,25,"66,81",36
277,"107,131",0,0,"91,102"
278,"107,131","105",0,"8,19,225"
279,97,"6,76",0,"4,36,57,83,91,107,120,129,151,165,171,177,182,232,255"
280,97,0,"18,94",91
281,131,114,0,"31,64"
282,1,"30",0,0
283,"107,131",0,0,"79,128,129,130,131,166,274"
284,"97,107",0,0,129
285,131,6,26,81,"7,43,111,177"
286,1,75,0,"42,43,91"
287,"6,107",0,0,"85,111,129,227"
288,131,100,0,"8,19,47,101,129"
289,"97,107","0","18,69","107"
290,"107,131",0,0,"57,100,255"
291,1,"0","0","8,19,79,129,165"
292,"107,131",0,"0","45,57,64,100,108,129,182,189,213,227,233,243,251"
293,"97,107",0,0,100
294,"107,131",115,0,"3,8,19,42,165,233,255"
295,73,21,0,0
296,28,35,0,"54,151,190"
297,21,0,0,52
298,131,"1,51,54",0,"143,241"
299,131,0,"26,49,81",36,50,129,153,241
300,131,0,0,"157,241"
301,131,102,0,"6,42,47,61,91,108,111,129,150,167,190,221,301"
302,131,0,"26,49","29,36,83,108,227,241"
303,131,10,0,0
304,21,46,0,242
305,"1,64",10,0,"8,19,66,75,108,158,239"
306,131,21,26,40,"129,153,177"
307,"97,107",0,0,"165,177,244"
308,131,6,0,"57,153"
309,131,43,0,72
310,"50,131",105,0,31
311,1,115,0,"26,31,108"
312,1,0,0,0
313,97,0,0,100
314,131,"16,115",26,255
315,131,"35,114","0","34,36,83,108,126,128,129,155,156,241,268"
316,"107,131",0,"0","54,99,154,227"
317,6,102,0,"36,85,91,99,101,110,129,151,154,230,251"
318,97,115,"0","36,57,51"
319,131,0,0,"53,57,129,256"
320,5,115,"81","34,36,255"
321,"107,131",0,0,"66,72,151"
322,"1","110",0,"0"
323,"107,131",0,0,36
324,28,0,0,91
325,"107,131",115,"26,81","79,129,153,165,207,255"
326,"107,131",0,0,"6,7,41,42,91,99,102,111,230,263,269"
327,1,"0","0","271"
328,131,0,0,255
329,"107,131",0,0,"77,129,130,153,165,178,258"
330,28,0,0,"108,155,157,163,176,182,218"
331,131,21,26,40,"130,178,179"
332,28,105,0,0
333,58,115,0,129
334,"6",0,"21,27,96",0
335,"97,107",0,0,"34,36,50,61,80,100,150,171,210,255"
336,131,"21,33,35,36,95,104,114",0,"8,19,91,101,107,154,255"
32,97,"0","26,49","100"
339,"107,131",115,"0","34,36,45,66,79,83,129,153,165,171,189,207,241"
340,6,105,"0",0
341,56,115,0,235
342,"107,131",0,0,255
343,21,0,0,35
344,131,0,26,8
345,131,"46",95,255
346,131,"51,115",0,"47,108,154"
347,131,115,0,"34,36,100,126,154"
348,60,16,"0",0
349,"97,107",79,0,"36,85,129"
350,33,10,0,0
351,"107,131",0,"21,26,49,96",255
352,131,35,0,"8,19,25,29,36,42,57,66,83,91,107,129,151,153,165,169,171,177,241,254,255"
353,131,0,26,"6,7,111"
354,131,46,0,"2,7,8,19,29,42,43,45,54,66,71,84,108,126,128,156,158,163,176,227,243,268"
355,131,0,26,"108,119,128,129"
356,"107,131",0,"0","34,83,107,155"
357,28,21,0,"100,129,153"
358,131,0,0,0
359,28,54,"0","6,7,8,19,29,43,83,91,97,107,108,120,129,158,165,189,190,221,233,235,243"
360,131,46,0,"57,100,101,108,241"
361,97,0,"0","91,129,146,230"
362,131,1,0,255
363,131,0,0,"30,128,241"
364,131,"0","66,81",0
365,"107,131",0,0,"57,100,241"
366,97,0,0,"153,232"
367,42,0,0,"6,57,85,91,129"
368,131,"33,59,115","26,81","66,71,165,225"
369,131,54,0,"6,109,116"
370,"1,64",46,43,0
371,28,"0",0,"3,43,91,150,171,190,225,235,255"
372,28,0,0,"57,73,75,120"
373,97,114,"0",0
374,85,75,0,0
375,5,"16,115","26,81","8,19,57,59,127,165,171,232,241"
376,"42",0,"18,69,72,94",0
377,131,35,"0","29,57,83,153,177,189,241,268"
378,"21",0,"0","45"
379,28,0,"0","8,19,52,75,154,235"
380,97,"33,79",0,"36,150,151,153,255"
381,97,46,0,"36,57,59,107,129,171"
382,5,102,"26",36,57,153,251
383,131,"33,51",0,"8,19,21,75,108,151,154,235"
384,131,115,0,"34,36,241"
385,131,0,0,"26,129,167,171"
386,131,0,0,"36,57,153"
387,28,0,0,"8,19,62,232"
388,131,"33,115",0,"8,19,23,71,180,190,197,225,233,243"
389,97,"6,76",0,"6,7,36,42,72,80,91,107,128,171,230,269"
390,21,92,0,"0"
391,131,12,0,81,"31,73"
392,28,0,26,273
393,59,"0",54,"36,57,18,69"
394,131,"4,6,21","18,42,94","6,7,8,43,85,111,120,129,233"
395,131,0,26,"107,129,255"
396,6,52,"0",18,68,94
397,131,"0","81","7,8,19,47,52,91,150,151,188,190,221,233,239"
398,1,"0","0","0"
399,131,46,"26,83","7,34,47,83,100,108,128,129,249"
400,131,43,0,"31,64"
401,28,0,0,"8,19,72,165"
402,97,10,0,"34,91,129,227"
403,74,0,0,255
404,28,114,0,"7,42,43,91"
405,11,101,0,0
407,35,0,0,0
408,1,0,0,"182,255"
409,131,"46,54",0,"6,7,30,43,77,79,111,129,180,243"
410,6,0,0,0
411,131,0,0,"31,154,196"
412,42,105,"26,49,81","57,59"
413,28,"33,51,79",0,"2,91,108,154,158,189,206,231,241,249,268"
414,97,114,0,"36,68,144,241,255"
415,131,0,26,81,"57,84,100,108,255"
416,131,36,0,"54,129,143,151,165"
417,97,52,0,0
418,9,"114",0,"21"
419,21,0,0,54
420,131,0,0,"43,270"
421,"74",16,"0","30,42,91,129,144,151"
422,131,"10,15,25,27,32,34,45,51,60,63,78,80,86,104,112",26,255
423,131,115,"4,66,81",108
424,1,0,0,"79,144"
425,28,0,0,"43,91,128"
426,97,"33,115",0,"27,91,111,232"
427,131,"6",66,81,83,0
428,97,"33",0,0
