index,Primary Investor Type,Target Investment Country,Investment Type,Preferred Industry
821,94,0,0,0
822,0,0,0,0
823,97,81,0,85;129;154
824,60,0,0,0
825,21,0,0,0
826,94,0,0,0
827,94,0,0,0
828,94,0,0,0
829,131,0,0,19;36;45;57;58;128;153;182
830,85,0,0,0
831,0,0,0,0
832,79,0,0,0
833,59;63,33,0,91;230
834,94,0,0,0
835,0,0,0,0
836,34,0,0,0
837,74,51,0,0
838,9,0,0,0
839,94,0,0,0
840,89,0,0,0
841,117,0,13;68;95,0
842,104,0,0,49
843,5,0,0,255
844,94,0,0,0
845,94,0,0,0
846,94,0,0,0
847,131,0,13;68;79,255
848,34,0,0,0
849,85,0,0,0
850,54,115,0,36;85;129
851,21,0,0,0
852,0,0,0,0
853,42,0,0,0
854,58,0,0,107;108;144;153
855,0,0,0,0
856,0,0,0,0
857,94,0,0,0
858,94,0,0,0
859,90,0,0,41;69;95
860,34,0,0,0
861,81,0,0,0
862,94,0,0,0
863,34,0,0,0
864,94,0,0,0
865,98,0,0,0
866,102,0,0,0
867,94,0,0,0
868,94,0,0,0
869,59,0,30,0
870,58,0,0,0
871,97,0,0,147;150;151
872,21,0,0,0
873,85,0,0,0
874,4,0,6,0
875,4,0,6,0
876,94,0,0,0
877,94,0,0,0
878,0,0,0,0
879,56,0,0,6;7
880,21,0,0,0
881,21,0,0,0
882,4,0,6,0
883,94,0,0,0
884,21,0,0,0
885,24,0,0,0
886,94,0,0,0
887,59;40,0,0,0
888,34,0,0,0
889,21,0,0,0
890,21,0,0,0
891,85,0,0,0
892,21,0,0,0
893,79,0,0,0
894,85,0,0,0
895,42,0,28;68;95;131,0
896,0,0,0,0
897,85,0,0,0
898,94,0,0,0
899,94,0,0,0
900,94,0,0,0
901,85,0,0,0
902,131,33,0,94
903,59,0,30;54,57;254;255
904,85,0,0,0
905,131,33,0,153
906,59,0,28;54,0
907,0,0,0,0
908,80,0,0,0
909,94,0,0,0
910,0,0,0,0
911,85,0,0,0
912,94,0,0,0
913,94,0,0,0
914,97,0,0,243
915,0,0,0,0
916,85,0,0,0
917,21,0,0,0
918,94,0,0,0
919,85,0,0,0
920,94,0,0,0
921,85,0,0,0
922,94,0,0,0
923,94,0,0,0
924,24,0,0,0
925,85,0,0,0
926,94,0,0,0
927,0,0,0,0
928,0,0,0,0
929,59,0,30,0
930,21,0,0,0
931,94,0,0,0
932,21,0,0,0
933,1;64,0,0,0
934,34,0,0,0
935,94,0,0,0
936,34,0,0,0
937,1,0,0,0
938,104,0,0,0
939,85,0,0,0
940,94,0,0,0
941,21,0,0,0
942,21,0,0,0
943,7,0,0,0
944,21,0,0,0
945,11,0,77,0
946,131,0,0,30;214
947,104,0,0,49;138;227
948,21,0,0,0
949,60,0,0,0
950,94,0,0,0
951,131,0,0,72
952,71,0,0,0
953,71,0,0,0
954,94,0,0,0
955,4,0,6,0
956,4,0,6,0
957,131,51,0,12;91;269
958,97,51,0,133
959,67,51,0,91;154;190;198;263;270
960,56,0,38;46,0
961,59,0,18;28,0
962,131,0,0,30;66;128;129;180;182;230;233;255;270
963,4,0,6,0
964,131,51,0,165;180
965,0,0,0,0
966,74,0,38,129
967,0,0,0,0
968,21,0,0,0
969,4,0,6,0
970,0,0,0,0
971,114,51,0,0
972,0,0,0,0
973,94,0,0,0
974,78,0,0,0
975,21,0,0,0
976,0,0,0,0
977,94,0,0,0
978,131,0,0,66
979,0,0,0,0
980,0,0,0,0
981,0,0,0,0
982,94,0,0,0
983,0,0,0,0
984,21,0,0,0
985,0,0,0,0
986,85,0,0,0
987,94,0,0,0
988,94,0,0,0
989,94,0,0,0
990,0,0,0,0
991,94,0,0,0
992,0,0,0,0
993,79,0,0,0
994,21,0,0,0
995,99,0,0,0
996,21,0,0,0
997,4,0,6,0
998,4,0,6,0
999,21,0,0,0
1000,97,0,0,0
1001,94,0,0,0
1002,94,0,0,0
1003,94,0,0,0
1004,94,0,0,0
1005,50,0,0,0
1006,94,0,0,0
1007,94,0,0,0
1008,21,0,0,0
1009,94,0,0,0
1010,4,0,6,0
1011,87,0,0,0
1012,0,0,0,0
1013,94,0,0,0
1014,94,0,0,0
1015,94,0,0,0
1016,38,0,0,0
1017,85,0,0,0
1018,94,0,0,0
1019,34,0,0,0
1020,94,0,0,0
1021,94,0,0,0
1022,0,0,0,0
1023,5,0,0,0
1024,53,0,13,0
1025,105,0,0,0
1026,131,0,0,64
1027,56,0,0,0
1028,1,0,0,255
1029,131,0,0,29;85;102;129;157;254
1030,0,0,0,0
1031,1,0,0,8;19;30;45;123;157
1032,5,0,0,0
1033,94,0,0,0
1034,1,0,0,255
1035,131,0,0,31;84;108;120;241
1036,34,0,0,0
1037,94,0,0,0
1038,60,0,0,0
1039,67,0,0,0
1040,0,0,0,0
1041,131,0,0,0
1042,94,0,0,0
1043,94,0,0,0
1044,94,0,0,0
1045,94,0,0,0
1046,94,0,0,0
1047,94,0,0,0
1048,85,0,0,0
1049,104,0,0,0
1050,94,0,0,0
1051,85,0,0,0
1052,94,0,0,0
1053,97,0,26,0
1054,21,0,0,0
1055,21,0,0,0
1056,1,0,0,36;83;153;221;227
1057,131,0,0,0
1058,21,0,0,0
1059,94,0,0,0
1060,21,0,0,0
1061,21,0,0,0
1062,131,0,0,6;36;129;171
1063,0,0,0,0
1064,34,0,0,0
1065,104,0,0,0
1066,22,0,0,0
1067,0,0,0,0
1068,87,0,0,0
1069,42,0,66;83,49;108;153;171
1070,21,0,0,0
1071,94,0,0,0
1072,94,0,0,0
1073,94,0,0,0
1074,79,0,0,0
1075,0,0,0,0
1076,94,0,0,0
1077,21,0,0,0
1078,131,0,0,259
1079,0,0,0,0
1080,64,0,0,153
1081,94,0,0,0
1082,60,35,0,5;54;66;91;102;240
1083,94,0,0,0
1084,94,0,0,0
1085,0,0,0,0
1086,94,0,0,0
1087,131,0,0,255
1088,94,0,0,0
1089,0,0,0,0
1090,94,0,0,0
1091,131,0,0,0
1092,131,0,0,153
1093,21,0,0,0
1094,94,0,0,0
1095,94,0,0,0
1096,94,0,0,0
1097,94,0,0,0
1098,94,0,0,0
1099,94,0,0,0
1100,94,0,0,0
1101,4,0,6,0
1102,94,0,0,0
1103,94,0,0,0
1104,85,0,0,0
1105,21,0,0,0
1106,85,0,0,0
1107,34,0,0,0
1108,54,0,0,0
1109,97,52,0,0
1110,21,0,0,0
1111,0,0,0,0
1112,58,52,0,0
1113,4,0,6,0
1114,4,0,6,0
1115,4,0,6,0
1116,98,0,0,0
1117,120,35;64,0,31;64;73;273
1118,98,0,0,0
1119,98,0,0,0
1120,98,0,0,0
1121,94,0,0,0
1122,85,0,0,0
1123,94,0,0,0
1124,21,0,0,0
1125,85,0,0,0
1126,21,0,0,0
1127,5,52,0,30;165
1128,5,52,0,30;42;133;165
1129,94,0,0,0
1130,1;64,52,0,27;59;85;106;111;112;259
1131,0,0,0,0
1132,21,0,0,0
1133,0,0,0,0
1134,131,52,0,0
1135,64,52,0,102;110
1136,34,0,0,0
1137,94,0,0,0
1139,56,0,0,0
1140,21,0,0,0
1141,21,0,0,0
1142,21,0,0,0
1143,0,0,0,0
1144,21,0,0,0
1145,21,0,0,0
1146,34,0,0,0
1147,85,0,0,0
1148,94,0,0,0
1149,94,0,0,0
1150,97;60,52,0,107;147;151
1151,0,0,0,0
1152,94,0,0,0
1153,85,0,0,0
1154,94,0,0,0
1155,34,0,0,0
1156,94,0,0,0
1157,94,0,0,0
1158,94,0,0,0
1159,0,0,0,0
1160,94,0,0,0
1161,21,0,0,0
1162,4,0,6,0
1163,4;131,0,6,0
1164,4,0,6,0
1165,94,0,0,0
1166,94,0,0,0
1167,34,0,0,0
1168,1,59;77,0,0
1169,94,0,0,0
1170,94,0,0,0
1171,71,0,0,0
1172,71,33;115,0,0
1173,0,0,0,0
1174,21,0,0,0
1175,60,0,0,6;7;49;54;57;59;80;91;107;147;151;154
1176,0,0,0,0
1177,4,0,6,0
1178,4,0,6,0
1179,4,0,6,0
1180,94,0,0,0
1181,21,0,0,0
1182,97,0,0,153;235
1183,60,0,0,0
1184,60,0,0,0
1185,94,0,0,0
1186,94,0,0,0
1187,94,0,0,0
1188,0,0,0,0
1189,94,0,0,0
1190,60,0,0,0
1191,21,0,0,0
1192,21,0,0,0
1193,0,0,0,0
1194,94,0,0,0
1195,21,0,0,0
1196,94,0,0,0
1197,94,0,0,0
1198,67,0,0,0
1199,21,0,0,0
1200,94,0,0,0
1201,94,0,0,0
1202,94,0,0,0
1203,94,0,0,0
1204,60,0,0,0
1205,131,0,0,108;163
1206,21,0,0,0
1207,94,0,0,0
1208,94,0,0,0
1209,85;21,0,0,0
1210,94,0,0,0
1211,94,0,0,0
1212,0,0,0,0
1213,94,0,0,0
1214,85,0,0,0
1215,94,0,0,0
1216,1;64,0,0,0
1217,21,0,0,0
1218,131,0,0,181
1219,21,0,0,0
1220,131,35,0,0
1221,6,0,0,129
1222,74,0,0,0
1223,120,0,0,0
1224,34,0,0,0
1225,131,0,0,85;129;254
1226,1,101,0,241
1227,34,0,0,0
1228,131,0,0,64;255
1229,0,0,0,0
1230,79,0,0,0
1231,94,0,0,0
1232,1;64,35,0,66,0
1233,94,0,0,0
1234,21,0,0,0
1235,0,0,0,0
1236,21,0,0,0
1237,34,0,0,0
1238,0,0,0,0
1239,94,0,0,0
1240,0,0,0,0
1241,94,0,0,0
1242,94,0,0,0
1243,24,0,0,0
1244,94,0,0,0
1245,94,0,0,0
1246,97,0,0,57;96;107;210;232;255;263
1247,104,0,0,0
1248,129,0,0,0
1249,0,0,0,0
1250,21,0,0,0
1251,42,0,0,36;153
1252,21,0,0,0
1253,67,0,0,91;154;270
1254,94,0,0,0
1255,131,81,0,8;19;255
1256,94,0,0,0
1257,131,84,0,26,255
1258,97,9,0,0,48
1259,119,0,0,0
1260,97,28,0,0,85;129;227
1261,85,0,0,0
1262,131,0,0,85;91;107;129;151;247
1263,131,0,0,107;153
1264,71,0,0,0
1265,94,0,0,0
1266,71,0,0,0
1267,6,0,0,0
1268,131,46,0,0
1269,94,0,0,0
1270,99,0,0,0
1271,0,0,0,0
1272,1;64,0,0,0
1273,0,0,0,0
1274,94,0,0,0
1275,21,0,0,0
1276,60,0,0,0
1277,21,0,0,0
1278,94,0,0,0
1279,34,0,0,0
1280,94,0,0,0
1281,34,0,0,0
1282,94,0,0,0
1283,131,0,0,84;85;108;110;129;153;167;255;259
1284,21,0,0,0
1285,85,0,0,0
1286,94,0,0,0
1287,131,28,0,0
1288,0,0,0,0
1289,94,0,0,0
1290,21,0,0,0
1291,94,0,0,0
1292,21,0,0,0
1293,1,0,0,0
1294,94,0,0,0
1295,21,0,0,0
1296,94,0,0,0
1297,1,0,0,255
1298,0,0,0,0
1299,94,0,0,0
1300,21,0,0,0
1301,21,0,0,0
1302,94,0,0,0
1303,94,0,0,0
1304,21,0,0,0
1305,98,0,0,0
1306,94,0,0,0
1307,85,0,0,0
1308,85,0,0,0
1310,94,0,0,0
1311,94,0,0,0
1312,21,0,0,0
1313,94,0,0,0
1314,131,54;115,0,36;157
1315,94,0,0,0
1316,21,0,0,0
1317,85,0,0,0
1318,21,0,0,0
1319,21,0,0,0
1320,34,0,0,0
1321,34,0,0,0
1322,21,0,0,0
1323,85,0,0,0
1324,34,0,0,0
1325,94,0,0,0
1326,85,0,0,0
1327,99,0,0,0
1328,94,0,0,0
1329,94,0,0,0
1330,21,0,0,0
1331,0,0,0,0
1332,97,0,0,0
1333,43,0,0,0
1334,94,0,0,0
1335,131,0,0,1;8;19;66;158
1336,34,0,0,0
1337,94,0,0,0
1338,21,0,0,0
1339,0,0,0,0
1340,94,0,0,0
1341,21,0,0,0
1342,1;64,0,0,0
1343,34,0,0,0
1344,34,0,0,0
1345,60,0,0,0
1346,21,0,0,0
1347,21,0,0,0
1348,21,0,0,0
1349,94,0,0,0
1350,34,0,0,0
1351,34,0,0,0
1352,94,0,0,0
1353,94,0,0,0
1354,60,0,0,0
1355,34,0,0,0
1356,94,0,0,0
1357,21,0,0,0
1358,94,0,0,0
1359,94,0,0,0
1360,21,0,0,0
1361,94,0,0,0
1362,94,0,0,0
1363,0,0,0,0
1364,4,0,6,0
1365,0,0,0,0
1366,34,0,0,0
1367,34,0,0,0
1368,21,0,0,0
1369,0,0,0,0
1370,94,0,0,0
1371,21,0,0,0
1372,21,0,0,0
1373,4,0,6,0
1374,94,0,0,0
1375,34,0,0,0
1376,60,0,0,0
1377,1;64,0,0,0
1378,21,0,0,0
1379,1;64,0,0,0
1380,0,0,0,0
1381,4,0,6,0
1383,85,0,0,0
1384,28,114,40;66,57
1385,85,0,0,0
1386,0,0,0,0
1387,94,0,0,0
1388,0,0,0,0
1389,94,0,0,0
1390,85,0,0,0
1391,21,0,0,0
1392,79,0,0,0
1393,94,0,0,0
1394,4,0,6,0
1395,94,0,0,0
1396,94,0,0,0
1397,69,0,0,0
1398,4,0,6,0
1399,78,0,0,0
1400,104,0,0,175
1401,4,0,6,0
1402,4,0,6,0
1403,94,0,0,0
1404,94,0,0,0
1405,131,0,0,36;128;255
1406,4;131,0,0,0
1407,94,0,0,0
1408,94,0,0,0
1409,0,0,0,0
1410,34,0,0,0
1411,94,0,0,0
1412,80,0,0,0
1413,85,0,0,0
1414,94,0,0,0
1415,60,0,0,0
1416,131,0,0,0
1417,94,0,0,0
1418,85,0,0,0
1419,94,0,0,0
1420,131,0,0,0
1421,85,0,0,0
1422,94,0,0,0
1423,0,0,0,0
1424,131,0,26;40;81,153
1425,94,0,0,0
1426,1,0,0,29;83;108;143;153;158
1427,94,0,0,0
1428,4,0,6,0
1429,4,0,6,0
1430,4,0,6,0
1431,4,0,6,0
1432,4,0,6,0
1433,4,0,6,0
1434,4,0,6,0
1435,4,0,6,0
1436,4,0,6,0
1437,4,0,6,0
1438,4,0,6,0
1439,4,0,6,0
1440,4,0,6,0
1441,4,0,6,0
1442,4,0,6,0
1443,4,0,6,0
1444,4,0,6,0
1445,4,0,6,0
1446,4,0,6,0
1447,4,0,6,0
1448,4,0,6,0
1449,4,0,6,0
1450,4,0,6,0
1451,4,0,6,0
1452,4,0,6,0
1453,4,0,6,0
1454,97;60,0,10,0
1455,11,0,75,0
1456,21,0,0,0
1457,21,0,0,0
1458,94,0,0,0
1459,94,0,0,0
1460,94,0,0,0
1461,94,0,0,0
1462,4,0,6,0
1463,69,0,0,0
1464,131,0,0,0
1465,34,0,0,0
1466,85,0,0,0
1467,4,0,6,0
1468,4;131,0,6,0
1469,4,0,6,0
1470,34,0,0,0
1471,131,2;33;102;115,26,0
1472,21,0,0,0
1473,131,0,0,133;153;157;254
1474,94,0,0,0
1475,21,0,0,0
1476,42,0,0,0
1477,85,0,0,0
1478,21,0,0,0
1479,21,0,0,0
1480,94,0,0,0
1481,4,0,6,0
1482,94,0,0,0
1483,0,0,0,0
1484,1,0,0,7;84;146;153
1485,59,0,0,0
1486,131,0,0,108;144;153;176
1487,94,0,0,0
1488,21,0,0,0
1489,4,0,6,0
1490,131,0,0,47;79;84;108;189
1491,97,0,0,57
1492,94,0,0,0
1493,129,0,0,0
1494,94,0,0,0
1495,0,0,0,0
1496,60,0,0,0
1497,0,0,0,0
1498,94,0,0,0
1499,0,0,0,0
1500,104,0,0,0
1501,59,0,62,0
1502,94,0,0,0
1503,94,0,0,0
1504,94,0,0,0
1505,86,0,0,0
1506,85,0,0,0
1507,34,0,0,0
1508,94,0,0,0
1509,104,0,72,0
1510,0,0,0,0
1511,21,0,0,0
1512,131,0,0,8;19;153
1513,97,0,0,36;128;129;166;213;232;255
1514,34,0,0,0
1515,21,0,0,0
1516,131,0,0,79;129;158;165;189
1517,94,0,0,0
1518,94,0,0,0
1519,4,0,6,0
1520,29,0,0,0
1521,4,0,6,0
1522,4,0,6,0
1523,4,0,6,0
1524,4,0,6,0
1525,4,0,6,0
1526,4,0,6,0
1527,85,0,0,0
1528,34,0,0,0
1529,94,0,0,0
1530,59,0,28;54,0
1531,131,0,0,43;58
1532,21,0,0,0
1533,34,0,0,0
1534,131;58,0,0,8;19;57;64;73;79;100;108;118;120
1535,21,0,0,0
1536,120,0,0,0
1537,94,0,0,0
1538,94,0,0,0
1539,94,0,0,0
1540,21,0,0,0
1541,21,0,0,0
1542,94,0,0,0
1543,94,0,0,0
1544,131,0,0,0
1545,0,0,0,0
1546,21,0,0,0
1547,85,0,0,0
1548,94,0,0,0
1549,34,0,0,0
1550,68,0,0,0
1551,94,0,0,0
1552,131;97,0,0,42;57;189;255
1553,34,0,0,0
1554,94,0,0,0
1555,34,0,0,0
1556,131,0,0,0
1557,131,46,0,7;67;71;80;84;85;128;167;176;190
1558,59,0,0,0
1559,94,0,0,0
1560,104,0,72,49;147;175;227;232
1561,94,0,0,0
1562,131,115,26,100;129;151;165
1563,1,46,0,0
1564,94,0,0,0
1565,94,0,0,0
1566,58,0,21;28,0
1567,97,0,0,230
1568,94,0,0,0
1569,131,0,0,7;255
1570,97,54,0,7;98;255
1571,21,0,0,0
1572,21,0,0,0
1573,94,0,0,0
1574,4,0,6,0
1575,0,0,0,0
1576,21,0,0,0
1577,21,0,0,0
1578,0,0,0,0
1579,94,0,0,0
1580,21,0,0,0
1581,63,0,0,42;91;190;270
1582,94,0,0,0
1583,4,0,6,0
1584,21,0,0,0
1585,0,0,0,0
1586,78,0,0,0
1587,60,0,0,0
1588,94,0,0,0
1589,0,0,0,0
1590,94,0,0,0
1591,85,0,0,0
1592,34,0,0,0
1593,97,0,10;39,129
1594,42,0,0,0
1595,104,16;115,0,0
1596,94,0,0,0
1597,0,0,0,0
1598,94,0,0,0
1599,11,0,77,0
1600,21,0,0,0
1601,0,0,0,0
1602,6,0,0,0
1603,34,0,0,0
1604,34,0,0,0
1605,34,0,0,0
1606,34,0,0,0
1607,5,0,6;66;81,0
1608,131,0,0,9;129;165;255
1609,0,0,0,0
1610,59,24,0,28;35;54,0
1611,85,0,0,0
1612,131,0,66;83,39;103;120
1613,21,0,0,0
1614,85,0,0,0
1615,94,0,0,0
1616,34,0,0,0
1617,6,95,0,79
1618,97,0,0,30;59;107;129;153;255;263
1619,94,0,0,0
1620,21,0,0,0
1621,94,0,0,0
1622,34,0,0,0
1623,131,0,0,57;71
1624,97,46,0,0
1625,0,0,0,0
1626,94,0,0,0
1627,21,0,0,0
1628,131,0,0,0
1629,21,0,0,0
1630,4,0,6,0
1631,131,0,0,153
1632,131,0,0,79;130
1633,4,0,6,0
1634,94,0,0,0
1635,0,0,0,0
1636,94,0,0,0
1637,131,54,0,255
1638,34,0,0,0
1639,0,0,0,0
1640,34,0,0,0
1641,94,0,0,0
1642,94,0,0,0
1643,21,0,0,0
1644,28,51,0,7;42;43;91;150;167
1645,94,0,0,0
1646,94,0,0,0
1647,131,0,0,108
1648,21,0,0,0
1649,94,0,0,0
1650,94,0,0,0
1651,21,0,0,0
1652,4,0,6,0
1653,94,0,0,0
1654,85,0,0,0
1655,42,0,0,153;189
1656,94,0,0,0
1657,94,0,0,0
1658,1,0,0,91;153;230
1659,21,0,0,0
1660,85,0,0,0
1661,21,0,0,0
1662,21,0,0,0
1663,21,0,0,0
1664,94,0,0,0
1665,94,0,0,0
1666,34,0,0,0
1667,60,0,0,0
1668,21,0,0,0
1669,94,0,0,0
1670,94,0,0,0
1673,0,0,0,0
1675,0,0,0,0
1676,5,0,0,0
1677,5,0,0,0
1678,5,16,0,255
1679,5,33,0,1;7;8;19;29;36;42;43;57;84;102;126;129;146;153;163;165;241;243
1680,0,0,0,0
1681,131,10,0,143
1682,21,0,0,0
1683,129,0,0,0
1684,97,13,0,91;108;153;154;241
1685,34,0,0,0
1686,97,0,0,85;111;171
1687,21,0,0,0
1688,21,0,0,0
1689,21,0,0,0
1690,21,0,0,0
1691,21,0,0,0
1692,21,0,0,0
1693,94,0,0,0
1694,42,0,0,0
1695,4,0,6,0
1696,4,0,6,0
1697,21,0,0,0
1698,58,0,0,31
1699,0,0,0,0
1701,42,62,0,0
1702,34,0,0,0
1703,94,0,0,0
1704,98,0,0,0
1705,4,0,6,0
1706,4,0,6,0
1707,4,0,6,0
1708,4,0,6,0
1709,4,0,6,0
1710,131,0,0,0
1711,80,0,0,0
1712,4,0,6,0
1713,4,0,6,0
1714,4,0,6,0
1715,4,0,6,0
1716,4,0,6,0
1717,4,0,6,0
1718,4,0,6,0
1719,0,0,0,0
1720,104,0,0,0
1721,4,0,6,0
1722,4,0,6,0
1723,97,16,0,36;80;85;129;171
1724,4,0,6,0
1725,34,0,0,0
1726,85,0,0,0
1727,67,0,0,0
1728,94,0,0,0
1729,130,0,0,255
1730,94,0,0,0
1731,94,0,0,0
1732,21,0,0,0
1733,34,0,0,0
1734,97,0,0,0
1735,21,0,0,0
1736,21,0,0,0
1737,94,0,0,0
1738,21,0,0,0
1739,4,0,6,0
1740,4,0,6,0
1741,131,0,0,24;91;108;129;153;154
1742,43,0,0,0
1743,59,0,30;54,0
1744,21,0,0,0
1745,94,0,0,0
1746,21,0,0,0
1747,21,0,0,0
1748,97,0,0,0
1749,59,0,18;30;87,63;107
1750,21,0,0,0
1751,94,0,0,0
1752,97,75,0,1;36;57;112;113;150;151;176
1753,21,0,0,0
1754,94,0,0,0
1755,94,0,0,0
1756,94,0,0,0
1757,21,0,0,0
1758,21,0,0,0
1759,97,0,0,0
1760,120,0,0,0
1761,4,0,6,0
1762,4,0,6,0
1763,4,0,6,0
1764,0,0,0,0
1765,4,0,6,0
1766,4,0,6,0
1767,4,0,6,0
1768,4,0,6,0
1769,4,0,6,0
1770,4;131,0,6,0
1771,131,0,0,91;108;255
1772,94,0,0,0
1773,60,0,0,0
1774,97,0,0,0
1775,94,0,0,0
1776,4,0,6,0
1777,4,0,6,0
1778,4;131,0,6,0
1779,4,0,6,0
1780,4,0,6,0
1781,4,0,6,0
1782,4,0,6,0
1783,4,0,6,0
1784,4,0,6,0
1785,4,0,6,0
1786,4,0,6,0
1787,4,0,6,0
1788,94,0,0,0
1789,94,0,0,0
1790,21,0,0,0
1791,94,0,0,0
1792,21,0,0,0
1793,34,0,0,0
1794,34,0,0,0
1795,131,0,0,7;84;85;91;108;153
1796,94,0,0,0
1797,1,0,0,101;128;129;246;255
1798,21,0,0,0
1799,21,0,0,0
1800,94,0,0,0
1801,74,9;70,0,6;28;59;85;102;111;112;129;143;164;167;259
1802,21,0,0,0
1803,21,0,0,0
1804,94,0,0,0
1805,94,0,0,0
1806,42,0,0,0
1807,131,0,0,30;108;221
1808,85,0,0,0
1810,131,0,0,0
1811,0,0,0,0
1812,0,0,0,0
1813,94,0,0,0
1814,21,0,0,0
1815,21,0,0,0
1816,42,0,6;10;39;68,6;49;72
1817,94,0,0,0
1818,50,0,0,0
1819,94,0,0,0
1820,4,0,6,0
1821,59,0,30,0
1822,21,0,0,0
1823,76,0,0,0
1824,94,0,0,0
1825,21,0,0,0
1827,131;50,0,0,85;129
1830,0,0,0,0
1876,94,0,0,0
1877,94,0,0,0
1878,131,0,0,0
1879,94,0,0,0
1880,94,0,0,0
1881,94,0,0,0
1882,104,0,72,0
1883,63,0,0,0
1884,74,0,0,0
1885,21,0,0,0
1886,97,0,0,107;227
1887,21,0,0,0
1888,131,0,0,0
1889,21,0,0,0
1890,94,0,0,0
1891,1;64,0,26;46,0
1892,97,54,0,36;57;129;150;151;171;175;227;232
1893,1,0,0,42;113;128;180
1894,21,0,0,0
1895,131,0,0,0
1896,94,0,0,0
1897,94,0,0,0
1898,0,0,0,0
1899,131,0,0,7;66;100;108;129;221
1900,94,0,0,0
1901,0,0,0,0
1903,4,0,6,0
1904,21,0,0,0
1905,94,0,0,0
1907,60,0,0,0
1908,97,0,0,27;36;42;57;83;112;113;165
1909,4,0,6,0
1910,85,0,0,0
1911,60,0,0,0
1914,0,0,0,0
1915,94,0,0,0
1917,85,0,0,0
1918,104,0,0,0
1919,94,0,0,0
1920,0,0,0,0
1921,0,0,0,0
1922,21,0,0,0
1923,85,0,0,0
1924,4,0,6,0
1925,104,0,0,0
1927,4,0,6,0
1928,50,0,0,0
1929,94,0,0,0
1931,6,0,0,0
1932,80,0,0,0
1933,0,0,0,0
1934,4,0,6,0
1936,60,0,0,0
1937,0,0,0,0
1938,104,0,0,0
1939,12,0,0,0
1940,0,0,0,0
1941,50,0,0,0
1943,85,0,0,0
1944,85,0,0,0
1945,42,28,26;49;81,0
1946,0,0,0,0
1947,21,0,0,0
1949,85,0,0,0
1952,94,0,0,0
1953,0,0,0,0
1954,0,0,0,0
1955,23,0,0,0
1956,0,0,0,0
1957,94,0,0,0
1958,94,0,0,0
1961,60,0,0,0
1962,21,0,0,0
1963,56,0,0,0
1964,94,0,0,0
1966,90,0,0,0
1967,85,0,0,0
1968,59,0,0,0
1969,94,0,0,0
1970,104,0,0,0
1971,97;107,0,10;21;39;73,57;129;171
1972,97,0,0,129;171
1973,94,0,0,0
1975,94,0,0,0
1976,94,0,0,0
1977,23,0,0,0
1978,94,0,0,0
1979,80,0,0,0
1980,85,0,0,0
1981,94,0,0,0
1982,85,0,0,0
1983,4,0,6,0
1984,21,0,0,0
1986,42,0,0,0
1987,89,0,0,0
1988,4,0,6,0
1989,0,0,0,0
1990,71,0,0,0
1991,6,52,0,0
1992,58,0,0,108;221;241;255
1993,45,0,0,0
1994,6;107,0,41;69;72,0
1995,115,0,0,0
1997,4,0,6,0
1998,0,0,0,0
1999,4,0,6,0
2000,94,0,0,0
2001,21,0,0,0
2002,85,0,0,0
2003,94,0,0,0
2004,0,0,0,0
2005,0,0,0,0
2007,94,0,0,0
2008,94,0,0,0
2009,59,0,0,0
2010,0,0,0,0
2012,0,0,0,0
2014,50,0,0,0
2015,85,0,0,0
2016,94,0,0,0
2017,0,0,0,0
2018,85,0,0,0
2019,131,46,0,0
2020,131,0,0,8;19
2021,97,79,0,47;57;79;84;108;128;153;182;183;185;273
2022,131,0,0,15;175;241
2023,131,0,0,255
2024,131,0,0,8;19;108;255
2025,99,0,0,0
2026,131,0,0,0
2027,97,0,0,36;80;171;255;256
2028,107;131,0,26,23;66;129;154;225
2029,94,0,0,0
2030,60,0,0,0
2031,0,0,0,0
2032,131,33;98,26,108;128;156
2033,60,0,0,0
2034,6,0,0,0
2035,11,0,77,0
2036,131,0,0,84;108;153
2037,99,0,0,0
2038,6,0,0,0
2039,78,0,0,0
2040,94,0,0,0
2041,94,0,0,0
2042,94,0,0,0
2043,71,0,0,0
2044,94,0,0,0
2045,94,0,0,0
2046,21,0,0,0
2047,21,0,0,0
2048,131,37,0,36;57;153
2049,94,0,0,0
2050,94,0,0,0
2051,97,0,0,0
2052,4,0,6,0
2053,78,0,0,0
2054,4,0,6,0
2055,4,0,6,0
2056,4,0,6,0
2057,4,0,6,0
2058,0,0,0,0
2059,85,0,0,0
2060,97,64,0,28;36;57;59;106;111;112;113;129;150;255
2061,104,0,72,0
2062,105,33;102,0,49;138;227
2063,94,0,0,0
2064,64,0,0,0
2065,4,0,6,0
2066,131,28,0,83;153
2067,94,0,0,0
2068,0,0,0,0
2069,85,0,0,0
2070,0,0,0,0
2071,6,0,0,0
2072,85,0,0,0
2073,85,0,0,0
2074,21,0,0,0
2075,94,0,0,0
2076,97,0,0,171;218
2077,131,0,26,0
2078,97,0,0,83;154;256
2079,4,0,6,0
2080,4,0,6,0
2081,4,0,6,0
2082,4,0,6,0
2083,4,0,6,0
2084,4,0,6,0
2085,4,0,6,0
2086,4,0,6,0
2087,4,0,6,0
2088,4,0,6,0
2089,4,0,6,0
2090,0,0,0,0
2091,4,0,6,0
2092,4,0,6,0
2093,4,0,6,0
2094,0,0,0,0
2095,94,0,0,0
2096,4,0,6,0
2097,4,0,6,0
2098,85,0,0,0
2099,94,0,0,0
2100,4,0,6,0
2101,4,0,6,0
2102,94,0,0,0
