index,Primary Investor Type,Target Investment Country,Investment Type,Preferred Industry
114,1,0,0,43;108;128;150;234;243;246;251
115,131,0,0,57;79;100;108;129;165
120,97;107,2;4;33;59,0,36;57;129;147;151;232;255
121,131,52,40,7;8;14;19;29;42;57;58;79;84;85;91;107;108;129;153;156;165;169;171;198;241;268
122,107;131,0,0,64
123,97,0,0,36;57;107;129;151;255
124,131,0,66;81,255
125,97,0,0,36;57;59;129;151;255
126,107;131,0,0,154;273
127,131,0,0,47;57;58;79;84;85;108;128;175;190;241;255
128,107;131,0,66;81,8;19;30;43;57;71;100;108;129;241
129,131,0,40;81,30;91;101;130;153;157;171;177;183;187;198;232
130,97;107,0,0,57;91;95;151;241;255
131,97;107,0,10;39,43;108;182;255;256
132,131,0,0,31;64
133,1,16,81,8;57;100;102;127;129;165
134,131,51;101;115,0,30;42;100;129;153;165;171;177
135,131,21,0,3;5;12;19;30;90;91;153;171;177;184
136,131,0,0,36;47;71;81;84;108;113;120;151;167;190;213;221;241;243;255;259
137,97;107,0,0,36;57;129;147;151;241
138,6,16;33;115,0,36;57;107;129;151;241;263
139,6,0,18;44;45;68;69;72,94;230
140,131,0,0,30;47;57;108;129;143;153;237;256
141,131,0,0,255
142,107;131,0,26;49,5;30;90;154;177
143,131,95,26;40;49;81,7;15;43;47;64;83;84;108;120;128;153;167;241
144,28,0,0,108
145,6,0,0,0
146,97;107,79,0,2;5;35;36;41;51;57;72;80;85;90;101;102;129;136;147;149;154;167;171;177;182;187;190;198;255;256
147,107;131,0,0,31
148,131,0,26,255
149,97,33,0,1;36;83;150;158;176;190
150,28,0,0,0
151,131,0,0,64;154;273
152,131,0,0,64;108
153,53,0,28;69,0
154,97,35,0,6;36;129
155,131,0,0,64;273
156,131,46,26;67;81;83,71;100;241;251
157,131,115,66;83,43;57;100;108;129;165;175;252
158,63,33,26;81,36;42;43;81;158;190;206;233
159,97;107,0,0,36;84;129;147;153;154
160,107;131,39,0,0
161,1,115,26,0
162,97,35,10,36;57;58;91;102;129;151;153;169;171;177;255
163,131,0,0,8;19;57;64;71;75;84;108;127;129;175;241
164,97;107,0,0,129;165;255
165,1;64,0,0,255
166,107;131,0,0,57;58;85;101;107;111;112;129;255;263;264
167,70;107,0,18;35;41;69;72,0
168,28,0,81,0
169,97,0,0,50;129;153;171
170,131,0,0,31;64;273
171,97,0,18;44,5;36;57;107;129;255
172,131,115,26;49;81,29;42;66;83;154;165;171;241;255
173,28,0,0,64;71
174,58;107,4;33;79,0,30;77;79;129;130;165;179;214
175,131,0,0,8;19;31;57;89;100;129;153;182;233;237;240
176,28,0,0,18;19;31;73;79;81;103;120;145;154;182;195;196;240;255;273
177,1,100,0,6;7;13;19;27;29;30;42;43;46;54;59;81;91;94;102;106;109;112;127;129;158;167;169;172;183;192;230;239;240;259
178,97;107,0,18;22;39;44;68;72,58;182;232
179,97;107,0,0,36;57;107;129;150;151;152;241
